Thermal / Resonance / Fast fractions (%) per detector and case
================================================================================

DET0
------------------------------------------------------------
case             thermal     resonance        fast
DET12
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.76%        41.37%      53.86%
M43-15             4.76%        41.36%      53.88%
M43-20             4.75%        41.35%      53.90%
M43-25             4.74%        41.34%      53.92%
M43-30             4.74%        41.33%      53.93%
M43-5              4.78%        41.40%      53.82%
M70-10             4.74%        41.32%      53.95%
M70-15             4.72%        41.29%      53.99%
M70-20             4.71%        41.26%      54.03%
M70-25             4.70%        41.24%      54.06%
M70-30             4.70%        41.22%      54.08%
M70-5              4.76%        41.37%      53.87%
M87-10             4.78%        41.37%      53.85%
M87-15             4.77%        41.36%      53.87%
M87-20             4.77%        41.35%      53.89%
M87-25             4.76%        41.34%      53.90%
M87-30             4.76%        41.33%      53.90%
M87-5              4.79%        41.41%      53.81%
mox1               4.81%        41.45%      53.75%
mox43              6.61%        41.28%      52.11%

DET13
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.78%        41.38%      53.84%
M43-15             4.77%        41.36%      53.87%
M43-20             4.77%        41.33%      53.90%
M43-25             4.76%        41.32%      53.92%
M43-30             4.76%        41.31%      53.93%
M43-5              4.79%        41.40%      53.81%
M70-10             4.75%        41.31%      53.94%
M70-15             4.73%        41.28%      53.99%
M70-20             4.72%        41.25%      54.02%
M70-25             4.72%        41.23%      54.05%
M70-30             4.71%        41.21%      54.07%
M70-5              4.77%        41.35%      53.88%
M87-10             4.79%        41.37%      53.84%
M87-15             4.78%        41.35%      53.86%
M87-20             4.78%        41.34%      53.88%
M87-25             4.78%        41.34%      53.88%
M87-30             4.77%        41.32%      53.90%
M87-5              4.80%        41.39%      53.81%
mox1               4.82%        41.44%      53.74%
mox43              6.65%        41.26%      52.09%

DET14
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.79%        41.36%      53.85%
M43-15             4.79%        41.34%      53.87%
M43-20             4.78%        41.33%      53.89%
M43-25             4.78%        41.32%      53.91%
M43-30             4.77%        41.31%      53.92%
M43-5              4.81%        41.39%      53.80%
M70-10             4.76%        41.30%      53.93%
M70-15             4.75%        41.27%      53.98%
M70-20             4.74%        41.24%      54.02%
M70-25             4.73%        41.22%      54.05%
M70-30             4.73%        41.21%      54.07%
M70-5              4.79%        41.35%      53.86%
M87-10             4.80%        41.37%      53.83%
M87-15             4.80%        41.35%      53.85%
M87-20             4.79%        41.34%      53.87%
