case,step,burnup_MWd_kgHM_global,TH232_CAPT_value,TH232_CAPT_rel_err,TH232_CAPT_fraction,TH232_CAPT_fraction_rel_err,U235_FISS_value,U235_FISS_rel_err,U235_FISS_fraction,U235_FISS_fraction_rel_err,U238_FISS_value,U238_FISS_rel_err,U238_FISS_fraction,U238_FISS_fraction_rel_err,PU239_FISS_value,PU239_FISS_rel_err,PU239_FISS_fraction,PU239_FISS_fraction_rel_err,PU240_FISS_value,PU240_FISS_rel_err,PU240_FISS_fraction,PU240_FISS_fraction_rel_err,PU241_FISS_value,PU241_FISS_rel_err,PU241_FISS_fraction,PU241_FISS_fraction_rel_err,U235_CAPT_value,U235_CAPT_rel_err,U235_CAPT_fraction,U235_CAPT_fraction_rel_err,U238_CAPT_value,U238_CAPT_rel_err,U238_CAPT_fraction,U238_CAPT_fraction_rel_err,PU239_CAPT_value,PU239_CAPT_rel_err,PU239_CAPT_fraction,PU239_CAPT_fraction_rel_err,PU240_CAPT_value,PU240_CAPT_rel_err,PU240_CAPT_fraction,PU240_CAPT_fraction_rel_err,PU241_CAPT_value,PU241_CAPT_rel_err,PU241_CAPT_fraction,PU241_CAPT_fraction_rel_err,XE135_CAPT_value,XE135_CAPT_rel_err,XE135_CAPT_fraction,XE135_CAPT_fraction_rel_err,XE135M_CAPT_value,XE135M_CAPT_rel_err,XE135M_CAPT_fraction,XE135M_CAPT_fraction_rel_err
M43-10,21,24.0,47350600000000.0,0.00151,0.0175071,0.00149,29263700000000.0,0.00184,0.0199315,0.00182,116632000000000.0,0.00094,0.079438,0.00092,923831000000000.0,0.00031,0.629223,0.00022,10888100000000.0,0.00279,0.00741581,0.00277,358806000000000.0,0.00054,0.244383,0.0005,9196300000000.0,0.00355,0.00340021,0.00355,807148000000000.0,0.00038,0.298431,0.0003,511990000000000.0,0.00042,0.189302,0.00041,550827000000000.0,0.00045,0.20366,0.00038,123566000000000.0,0.0009,0.0456869,0.0009,50223500000000.0,0.00132,0.018129,0.0013,,,,
M43-10,22,28.0,48232600000000.0,0.00154,0.0174102,0.00148,28290200000000.0,0.00194,0.0192796,0.00192,118055000000000.0,0.00091,0.0804545,0.0009,902881000000000.0,0.00028,0.615311,0.0002,10832200000000.0,0.00313,0.00738185,0.00306,374307000000000.0,0.00055,0.255089,0.00048,8772550000000.0,0.00332,0.00316666,0.00334,819935000000000.0,0.00041,0.295969,0.00031,501003000000000.0,0.00042,0.180847,0.00042,557013000000000.0,0.00046,0.201063,0.00038,129311000000000.0,0.00085,0.0466774,0.00085,51752700000000.0,0.00144,0.0180413,0.00142,,,,
M43-10,23,34.0,49153100000000.0,0.00138,0.017135,0.00136,26789300000000.0,0.00187,0.0182574,0.00186,119986000000000.0,0.001,0.0817722,0.00095,875105000000000.0,0.00031,0.5964,0.00021,10850100000000.0,0.00304,0.00739445,0.00301,395620000000000.0,0.0005,0.269623,0.00045,8345450000000.0,0.00384,0.00290928,0.00384,839585000000000.0,0.00042,0.292682,0.0003,486395000000000.0,0.00043,0.16956,0.00041,564681000000000.0,0.00046,0.196851,0.00039,136759000000000.0,0.0009,0.047675,0.0009,54151700000000.0,0.0015,0.0180564,0.00151,,,,
M43-10,24,42.0,50348800000000.0,0.00154,0.0167882,0.00153,24716600000000.0,0.00226,0.0168591,0.00228,122623000000000.0,0.00099,0.0836393,0.00093,841552000000000.0,0.00033,0.574012,0.00025,10753300000000.0,0.0035,0.0073345,0.00346,419218000000000.0,0.00052,0.285943,0.00047,7459670000000.0,0.0035,0.00248736,0.0035,865465000000000.0,0.00041,0.288578,0.0003,468581000000000.0,0.00045,0.156244,0.00045,573049000000000.0,0.00045,0.191077,0.00042,146029000000000.0,0.00085,0.0486916,0.00083,56501300000000.0,0.0014,0.0180656,0.00143,,,,
M43-10,25,50.0,51661800000000.0,0.00152,0.016518,0.0015,22713800000000.0,0.00213,0.0154893,0.00208,125304000000000.0,0.00097,0.0854502,0.00094,813823000000000.0,0.00032,0.554982,0.00026,10522200000000.0,0.00333,0.00717533,0.00328,438195000000000.0,0.00047,0.298824,0.0004,6812280000000.0,0.00399,0.0021781,0.00398,891151000000000.0,0.00039,0.28493,0.00029,453315000000000.0,0.00047,0.144941,0.00046,578292000000000.0,0.00049,0.184899,0.00043,152624000000000.0,0.00084,0.0487993,0.00086,,,,,,,,
M43-15,0,0.0,55387700000000.0,0.00121,0.0251692,0.00119,34967900000000.0,0.00163,0.0238099,0.00161,103210000000000.0,0.00106,0.0702762,0.001,1066320000000000.0,0.00024,0.726066,0.00015,9305970000000.0,0.00314,0.00633636,0.00309,249151000000000.0,0.00059,0.16965,0.00056,11284500000000.0,0.0028,0.00512797,0.00282,705879000000000.0,0.00037,0.320765,0.00029,584697000000000.0,0.00036,0.265698,0.00031,488045000000000.0,0.00046,0.221776,0.00037,84743100000000.0,0.00104,0.038509,0.00103,42283300000000.0,0.00147,0.0186423,0.00146,0.0,0.0,0.0,0.0
M43-15,1,0.1,56122800000000.0,0.00137,0.024744,0.00135,34901400000000.0,0.00158,0.0237669,0.00157,105187000000000.0,0.00096,0.0716289,0.00093,1063860000000000.0,0.00024,0.724453,0.00016,9553870000000.0,0.00298,0.00650586,0.00297,249088000000000.0,0.00054,0.169621,0.00051,11349800000000.0,0.00299,0.00500407,0.003,717988000000000.0,0.0004,0.316553,0.0003,585014000000000.0,0.00037,0.257928,0.00035,493826000000000.0,0.00045,0.217723,0.00039,84759300000000.0,0.00118,0.0373696,0.00117,42638100000000.0,0.00152,0.0186842,0.00153,,,,
M43-15,2,0.4,56427800000000.0,0.00138,0.0247266,0.00134,34813800000000.0,0.00166,0.023697,0.00162,105716000000000.0,0.00098,0.0719587,0.00093,1062070000000000.0,0.00026,0.722931,0.00017,9584140000000.0,0.00323,0.00652354,0.00317,250838000000000.0,0.00057,0.170741,0.00053,11303400000000.0,0.0026,0.00495314,0.00259,720240000000000.0,0.00039,0.31561,0.00029,583933000000000.0,0.00035,0.255882,0.00035,495707000000000.0,0.00046,0.217219,0.00036,85288200000000.0,0.00112,0.0373735,0.0011,42700300000000.0,0.00151,0.0186083,0.00151,,,,
M43-15,3,0.7,56463600000000.0,0.00123,0.0246059,0.00119,34722500000000.0,0.00159,0.0236489,0.00158,105690000000000.0,0.00106,0.0719828,0.00101,1059630000000000.0,0.00026,0.721693,0.00016,9627380000000.0,0.00331,0.00655697,0.00329,252241000000000.0,0.00058,0.171797,0.00057,11312000000000.0,0.00272,0.00492963,0.00271,722955000000000.0,0.0004,0.315053,0.00029,583205000000000.0,0.00032,0.254153,0.00031,497230000000000.0,0.00045,0.216686,0.00039,86104900000000.0,0.00107,0.0375235,0.00107,42764100000000.0,0.00147,0.0185601,0.00146,,,,
M43-15,4,1.0,56640400000000.0,0.00132,0.0245827,0.00132,34633900000000.0,0.0017,0.0235852,0.00167,105943000000000.0,0.00095,0.0721458,0.0009,1057810000000000.0,0.00024,0.720358,0.00017,9655450000000.0,0.00304,0.00657525,0.00303,253845000000000.0,0.0006,0.172867,0.00057,11290000000000.0,0.00304,0.00489988,0.003,724180000000000.0,0.00041,0.314302,0.00031,582353000000000.0,0.00033,0.252749,0.00031,498574000000000.0,0.00047,0.216387,0.00041,86458800000000.0,0.00103,0.0375243,0.00102,42850500000000.0,0.00148,0.0185234,0.00146,,,,
M43-15,5,1.3,56740000000000.0,0.00149,0.0245275,0.00146,34638700000000.0,0.00161,0.0235815,0.00159,106319000000000.0,0.001,0.07238,0.00095,1055880000000000.0,0.00026,0.718825,0.00017,9660850000000.0,0.00303,0.00657687,0.003,255596000000000.0,0.00066,0.174006,0.00062,11295500000000.0,0.00273,0.00488287,0.00274,725984000000000.0,0.00036,0.313828,0.00029,581397000000000.0,0.00036,0.251327,0.00033,499915000000000.0,0.00045,0.216103,0.00039,86937900000000.0,0.00103,0.0375816,0.00101,42840200000000.0,0.00155,0.0184571,0.00155,,,,
M43-15,6,1.6,56858000000000.0,0.00119,0.0244965,0.00117,34543000000000.0,0.00155,0.0235253,0.00151,106557000000000.0,0.001,0.0725703,0.00096,1053540000000000.0,0.00025,0.71751,0.00018,9725680000000.0,0.00325,0.00662373,0.00326,256791000000000.0,0.00062,0.174887,0.00057,11266700000000.0,0.00295,0.00485409,0.00294,726779000000000.0,0.00036,0.313123,0.00028,580605000000000.0,0.00038,0.250147,0.00036,500737000000000.0,0.00049,0.215735,0.00042,87494800000000.0,0.00103,0.037696,0.00102,43065200000000.0,0.00153,0.0184778,0.0015,,,,
M43-15,7,2.0,56992300000000.0,0.00129,0.0244534,0.00124,34528300000000.0,0.00161,0.0235157,0.0016,106670000000000.0,0.00101,0.0726477,0.00096,1050930000000000.0,0.00022,0.715744,0.00016,9789510000000.0,0.00345,0.00666711,0.00343,258850000000000.0,0.00061,0.176291,0.00055,11187000000000.0,0.00293,0.0048,0.00293,729008000000000.0,0.00036,0.312794,0.00028,578787000000000.0,0.00037,0.24834,0.00036,502059000000000.0,0.00044,0.215417,0.00037,88119500000000.0,0.00091,0.0378095,0.00092,43027100000000.0,0.0015,0.0183784,0.00151,,,,
M43-15,8,2.5,57193500000000.0,0.00138,0.0244293,0.00138,34382900000000.0,0.00157,0.0234076,0.00157,106931000000000.0,0.00093,0.072797,0.00088,1048250000000000.0,0.00025,0.713638,0.00016,9812110000000.0,0.00332,0.00667994,0.00331,261377000000000.0,0.00064,0.177942,0.00059,11132000000000.0,0.00257,0.00475483,0.00257,730299000000000.0,0.00044,0.311933,0.0003,577287000000000.0,0.00038,0.246579,0.00036,503852000000000.0,0.00047,0.215212,0.00041,89168100000000.0,0.00103,0.0380866,0.00101,43072200000000.0,0.00146,0.0183108,0.00145,,,,
M43-15,9,3.0,57243700000000.0,0.00121,0.0243353,0.0012,34165900000000.0,0.00164,0.023273,0.00159,107178000000000.0,0.00099,0.0730076,0.00094,1044410000000000.0,0.00026,0.711432,0.00017,9836220000000.0,0.00305,0.00670028,0.00305,263702000000000.0,0.00061,0.179629,0.00055,11111600000000.0,0.00298,0.00472367,0.00294,732389000000000.0,0.0004,0.31135,0.00029,576100000000000.0,0.00036,0.244911,0.00034,505209000000000.0,0.00044,0.214773,0.00038,90026200000000.0,0.00102,0.0382717,0.001,43414800000000.0,0.00146,0.0183139,0.00142,,,,
M43-15,10,4.0,57494600000000.0,0.00126,0.0242536,0.00127,33951000000000.0,0.00181,0.0231143,0.0018,107653000000000.0,0.00093,0.073291,0.00088,1038540000000000.0,0.00026,0.70705,0.00016,9952530000000.0,0.00333,0.00677566,0.00329,268657000000000.0,0.00063,0.182905,0.00056,11090500000000.0,0.00274,0.00467843,0.00275,736006000000000.0,0.00038,0.310476,0.0003,572251000000000.0,0.00038,0.241399,0.00035,507280000000000.0,0.00043,0.21399,0.00037,91615900000000.0,0.00111,0.0386473,0.00109,43555900000000.0,0.00151,0.0182353,0.00152,,,,
M43-15,11,5.0,57833000000000.0,0.00126,0.0242124,0.00124,33804300000000.0,0.00171,0.0230225,0.00166,108249000000000.0,0.00097,0.0737239,0.00093,1031480000000000.0,0.00026,0.702501,0.00017,10015500000000.0,0.00292,0.00682111,0.00291,273465000000000.0,0.00059,0.186245,0.00054,10948600000000.0,0.00309,0.00458375,0.00308,739358000000000.0,0.00044,0.309539,0.00034,568917000000000.0,0.00037,0.238184,0.00037,509833000000000.0,0.00045,0.213447,0.00038,93270400000000.0,0.00099,0.0390487,0.00098,43875000000000.0,0.00157,0.0182298,0.00156,,,,
M43-15,12,6.0,57969700000000.0,0.00137,0.0240857,0.00132,33645700000000.0,0.00171,0.0229055,0.00169,108499000000000.0,0.00093,0.0738635,0.00085,1025150000000000.0,0.00025,0.69791,0.00017,10106200000000.0,0.00273,0.00688004,0.0027,278876000000000.0,0.00053,0.189854,0.0005,10834300000000.0,0.00316,0.0045015,0.00313,742619000000000.0,0.00038,0.308551,0.00028,565261000000000.0,0.0004,0.234861,0.00036,512735000000000.0,0.00042,0.213037,0.00038,95057600000000.0,0.00098,0.0394958,0.00098,44203400000000.0,0.00144,0.0182329,0.00145,,,,
