case,step,burnup_MWd_kgHM_global,ANA_KEFF,CONVERSION_RATIO,reactivity_pcm
M43-5,15,10.0,1.07765,0.66477,7205.493434788659
M43-5,16,12.0,1.06805,0.672064,6371.424558775333
M43-5,17,14.0,1.05924,0.679463,5592.689097843733
M43-5,18,16.0,1.05022,0.686849,4781.855230332686
M43-5,19,18.0,1.04181,0.693551,4013.207782609104
M43-5,20,20.0,1.03307,0.700676,3201.1383546129437
M43-5,21,24.0,1.01669,0.714455,1641.6016681584447
M43-5,22,28.0,1.00075,0.72864,74.94379215588592
M43-5,23,34.0,0.977877,0.748928,-2262.349968349803
M43-5,24,42.0,0.949745,0.774982,-5291.420328614528
M43-5,25,50.0,0.923048,0.798892,-8336.727884140373
M70-10,0,0.0,1.14662,0.631023,12787.148314175576
M70-10,1,0.1,1.12634,0.640479,11216.861693627137
M70-10,2,0.4,1.12182,0.643239,10859.139612415542
M70-10,3,0.7,1.11873,0.644954,10612.927158474342
M70-10,4,1.0,1.1156,0.646828,10362.136966654709
M70-10,5,1.3,1.11326,0.648326,10173.724017749664
M70-10,6,1.6,1.11078,0.650216,9973.172005257575
M70-10,7,2.0,1.10801,0.652109,9748.106966543619
M70-10,8,2.5,1.10445,0.65467,9457.195889356688
M70-10,9,3.0,1.1022,0.656121,9272.364362184728
M70-10,10,4.0,1.0959,0.661156,8750.798430513742
M70-10,11,5.0,1.09108,0.66432,8347.69219488947
M70-10,12,6.0,1.08598,0.66836,7917.272877953549
M70-10,13,7.0,1.08128,0.671698,7517.016868896125
M70-10,14,8.0,1.07661,0.675335,7115.854394813355
M70-10,15,10.0,1.06737,0.682566,6311.7756729156645
M70-10,16,12.0,1.05842,0.689807,5519.54800551765
M70-10,17,14.0,1.05013,0.696424,4773.694685419901
M70-10,18,16.0,1.04163,0.703663,3996.620681047978
M70-10,19,18.0,1.03288,0.711233,3183.332042444429
M70-10,20,20.0,1.02489,0.717827,2428.553308159908
M70-10,21,24.0,1.00947,0.731078,938.1160410908782
M70-10,22,28.0,0.994692,0.744818,-533.632521423715
M70-10,23,34.0,0.972671,0.764411,-2809.685906128593
M70-10,24,42.0,0.946378,0.788806,-5666.023512803546
M70-10,25,50.0,0.921285,0.812185,-8544.044459640609
