case,material,step,isotope,mdens_g_per_cm3
M43-10,M43-10,3,U236,5.38834e-05
M43-10,M43-10,4,U236,7.68488e-05
M43-10,M43-10,5,U236,9.96978e-05
M43-10,M43-10,6,U236,0.000122435
M43-10,M43-10,7,U236,0.000152603
M43-10,M43-10,8,U236,0.000190037
M43-10,M43-10,9,U236,0.000227235
M43-10,M43-10,10,U236,0.000300658
M43-10,M43-10,11,U236,0.000372914
M43-10,M43-10,12,U236,0.000444028
M43-10,M43-10,13,U236,0.000513967
M43-10,M43-10,14,U236,0.000582764
M43-10,M43-10,15,U236,0.000716801
M43-10,M43-10,16,U236,0.000846292
M43-10,M43-10,17,U236,0.000971427
M43-10,M43-10,18,U236,0.00109219
M43-10,M43-10,19,U236,0.00120851
M43-10,M43-10,20,U236,0.00132061
M43-10,M43-10,21,U236,0.00153221
M43-10,M43-10,22,U236,0.00172783
M43-10,M43-10,23,U236,0.00199303
M43-10,M43-10,24,U236,0.00229673
M43-10,M43-10,25,U236,0.00254986
M43-10,M43-10,0,U237,0.0
M43-10,M43-10,1,U237,3.09169e-06
M43-10,M43-10,2,U237,8.7516e-06
M43-10,M43-10,3,U237,1.1331e-05
M43-10,M43-10,4,U237,1.25311e-05
M43-10,M43-10,5,U237,1.31382e-05
M43-10,M43-10,6,U237,1.343e-05
M43-10,M43-10,7,U237,1.36243e-05
M43-10,M43-10,8,U237,1.38205e-05
M43-10,M43-10,9,U237,1.39412e-05
M43-10,M43-10,10,U237,1.41756e-05
M43-10,M43-10,11,U237,1.44104e-05
M43-10,M43-10,12,U237,1.46221e-05
M43-10,M43-10,13,U237,1.4804e-05
M43-10,M43-10,14,U237,1.4989e-05
M43-10,M43-10,15,U237,1.53916e-05
M43-10,M43-10,16,U237,1.58041e-05
M43-10,M43-10,17,U237,1.61555e-05
M43-10,M43-10,18,U237,1.65235e-05
M43-10,M43-10,19,U237,1.69108e-05
M43-10,M43-10,20,U237,1.72192e-05
M43-10,M43-10,21,U237,1.78046e-05
M43-10,M43-10,22,U237,1.84555e-05
M43-10,M43-10,23,U237,1.92495e-05
M43-10,M43-10,24,U237,2.02896e-05
M43-10,M43-10,25,U237,2.12587e-05
M43-10,M43-10,0,U238,7.82017
M43-10,M43-10,1,U238,7.81966
M43-10,M43-10,2,U238,7.81812
M43-10,M43-10,3,U238,7.81658
M43-10,M43-10,4,U238,7.81504
M43-10,M43-10,5,U238,7.81349
M43-10,M43-10,6,U238,7.81194
M43-10,M43-10,7,U238,7.80987
M43-10,M43-10,8,U238,7.80727
M43-10,M43-10,9,U238,7.80467
M43-10,M43-10,10,U238,7.79944
M43-10,M43-10,11,U238,7.79419
M43-10,M43-10,12,U238,7.78892
M43-10,M43-10,13,U238,7.78362
M43-10,M43-10,14,U238,7.7783
M43-10,M43-10,15,U238,7.7676
M43-10,M43-10,16,U238,7.75681
M43-10,M43-10,17,U238,7.74594
M43-10,M43-10,18,U238,7.73497
M43-10,M43-10,19,U238,7.72392
M43-10,M43-10,20,U238,7.71278
M43-10,M43-10,21,U238,7.69026
M43-10,M43-10,22,U238,7.66739
M43-10,M43-10,23,U238,7.63248
M43-10,M43-10,24,U238,7.58474
M43-10,M43-10,25,U238,7.53563
M43-10,M43-10,0,Np237,0.0
M43-10,M43-10,1,Np237,4.79347e-07
M43-10,M43-10,2,Np237,5.65949e-06
M43-10,M43-10,3,Np237,1.39465e-05
M43-10,M43-10,4,Np237,2.36312e-05
M43-10,M43-10,5,Np237,3.39593e-05
M43-10,M43-10,6,Np237,4.45791e-05
M43-10,M43-10,7,Np237,5.89106e-05
M43-10,M43-10,8,Np237,7.69527e-05
M43-10,M43-10,9,Np237,9.50437e-05
M43-10,M43-10,10,Np237,0.000131274
M43-10,M43-10,11,Np237,0.000167516
M43-10,M43-10,12,Np237,0.000203723
M43-10,M43-10,13,Np237,0.000239815
M43-10,M43-10,14,Np237,0.000275775
M43-10,M43-10,15,Np237,0.000347544
M43-10,M43-10,16,Np237,0.000418973
M43-10,M43-10,17,Np237,0.000489775
M43-10,M43-10,18,Np237,0.000559943
M43-10,M43-10,19,Np237,0.000629581
M43-10,M43-10,20,Np237,0.0006983
M43-10,M43-10,21,Np237,0.000833
M43-10,M43-10,22,Np237,0.000964118
M43-10,M43-10,23,Np237,0.00115257
M43-10,M43-10,24,Np237,0.00138785
M43-10,M43-10,25,Np237,0.00160214
M43-10,M43-10,0,Np239,0.0
M43-10,M43-10,1,Np239,0.000308284
M43-10,M43-10,2,Np239,0.000557057
M43-10,M43-10,3,Np239,0.000583114
M43-10,M43-10,4,Np239,0.000587658
M43-10,M43-10,5,Np239,0.00058882
M43-10,M43-10,6,Np239,0.000590042
M43-10,M43-10,7,Np239,0.000591061
M43-10,M43-10,8,Np239,0.00059288
M43-10,M43-10,9,Np239,0.000594653
M43-10,M43-10,10,Np239,0.000596038
M43-10,M43-10,11,Np239,0.000599257
M43-10,M43-10,12,Np239,0.000602025
M43-10,M43-10,13,Np239,0.000604853
M43-10,M43-10,14,Np239,0.00060755
M43-10,M43-10,15,Np239,0.000610624
M43-10,M43-10,16,Np239,0.000615725
M43-10,M43-10,17,Np239,0.000620463
M43-10,M43-10,18,Np239,0.000626171
M43-10,M43-10,19,Np239,0.000630575
M43-10,M43-10,20,Np239,0.000636006
M43-10,M43-10,21,Np239,0.000642437
M43-10,M43-10,22,Np239,0.000652388
M43-10,M43-10,23,Np239,0.000663826
M43-10,M43-10,24,Np239,0.000680418
M43-10,M43-10,25,Np239,0.000700045
M43-10,M43-10,0,Pu238,0.00721491
M43-10,M43-10,1,Pu238,0.00720754
M43-10,M43-10,2,Pu238,0.00718622
M43-10,M43-10,3,Pu238,0.00716601
M43-10,M43-10,4,Pu238,0.00714688
M43-10,M43-10,5,Pu238,0.00712881
M43-10,M43-10,6,Pu238,0.00711178
M43-10,M43-10,7,Pu238,0.0070906
M43-10,M43-10,8,Pu238,0.00706647
M43-10,M43-10,9,Pu238,0.00704485
M43-10,M43-10,10,Pu238,0.00700859
M43-10,M43-10,11,Pu238,0.00698086
M43-10,M43-10,12,Pu238,0.00696065
M43-10,M43-10,13,Pu238,0.0069474
M43-10,M43-10,14,Pu238,0.00694034
M43-10,M43-10,15,Pu238,0.00694243
M43-10,M43-10,16,Pu238,0.00696263
M43-10,M43-10,17,Pu238,0.00699767
M43-10,M43-10,18,Pu238,0.00704491
M43-10,M43-10,19,Pu238,0.00710247
M43-10,M43-10,20,Pu238,0.00716844
M43-10,M43-10,21,Pu238,0.00732093
M43-10,M43-10,22,Pu238,0.00749408
M43-10,M43-10,23,Pu238,0.00777844
M43-10,M43-10,24,Pu238,0.0081815
M43-10,M43-10,25,Pu238,0.0085841
M43-10,M43-10,0,Pu239,0.228396
M43-10,M43-10,1,Pu239,0.2277
M43-10,M43-10,2,Pu239,0.226322
M43-10,M43-10,3,Pu239,0.225175
M43-10,M43-10,4,Pu239,0.22406
M43-10,M43-10,5,Pu239,0.222955
M43-10,M43-10,6,Pu239,0.221858
M43-10,M43-10,7,Pu239,0.220407
M43-10,M43-10,8,Pu239,0.218612
M43-10,M43-10,9,Pu239,0.216837
M43-10,M43-10,10,Pu239,0.213342
M43-10,M43-10,11,Pu239,0.209928
M43-10,M43-10,12,Pu239,0.206589
M43-10,M43-10,13,Pu239,0.203327
M43-10,M43-10,14,Pu239,0.200136
M43-10,M43-10,15,Pu239,0.193974
M43-10,M43-10,16,Pu239,0.18809
M43-10,M43-10,17,Pu239,0.182466
M43-10,M43-10,18,Pu239,0.177118
M43-10,M43-10,19,Pu239,0.172018
M43-10,M43-10,20,Pu239,0.16716
M43-10,M43-10,21,Pu239,0.15814
M43-10,M43-10,22,Pu239,0.149999
