case,material,step,isotope,adens_atoms_per_barn_cm
M43-10,M43-10,21,Np237,2.11618e-06
M43-10,M43-10,22,Np237,2.44928e-06
M43-10,M43-10,23,Np237,2.92803e-06
M43-10,M43-10,24,Np237,3.52574e-06
M43-10,M43-10,25,Np237,4.07012e-06
M43-10,M43-10,0,Np239,0.0
M43-10,M43-10,1,Np239,7.76606e-07
M43-10,M43-10,2,Np239,1.4033e-06
M43-10,M43-10,3,Np239,1.46894e-06
M43-10,M43-10,4,Np239,1.48039e-06
M43-10,M43-10,5,Np239,1.48331e-06
M43-10,M43-10,6,Np239,1.48639e-06
M43-10,M43-10,7,Np239,1.48896e-06
M43-10,M43-10,8,Np239,1.49354e-06
M43-10,M43-10,9,Np239,1.49801e-06
M43-10,M43-10,10,Np239,1.5015e-06
M43-10,M43-10,11,Np239,1.50961e-06
M43-10,M43-10,12,Np239,1.51658e-06
M43-10,M43-10,13,Np239,1.5237e-06
M43-10,M43-10,14,Np239,1.5305e-06
M43-10,M43-10,15,Np239,1.53824e-06
M43-10,M43-10,16,Np239,1.55109e-06
M43-10,M43-10,17,Np239,1.56303e-06
M43-10,M43-10,18,Np239,1.57741e-06
M43-10,M43-10,19,Np239,1.5885e-06
M43-10,M43-10,20,Np239,1.60218e-06
M43-10,M43-10,21,Np239,1.61838e-06
M43-10,M43-10,22,Np239,1.64345e-06
M43-10,M43-10,23,Np239,1.67226e-06
M43-10,M43-10,24,Np239,1.71406e-06
M43-10,M43-10,25,Np239,1.7635e-06
M43-10,M43-10,0,Pu238,1.82519e-05
M43-10,M43-10,1,Pu238,1.82332e-05
M43-10,M43-10,2,Pu238,1.81793e-05
M43-10,M43-10,3,Pu238,1.81282e-05
M43-10,M43-10,4,Pu238,1.80798e-05
M43-10,M43-10,5,Pu238,1.80341e-05
M43-10,M43-10,6,Pu238,1.7991e-05
M43-10,M43-10,7,Pu238,1.79374e-05
M43-10,M43-10,8,Pu238,1.78764e-05
M43-10,M43-10,9,Pu238,1.78217e-05
