case,material,step,isotope,adens_atoms_per_barn_cm
M43-15,M43-15,25,Pu238,2.16574e-05
M43-15,M43-15,0,Pu239,0.000575377
M43-15,M43-15,1,Pu239,0.000573617
M43-15,M43-15,2,Pu239,0.000570049
M43-15,M43-15,3,Pu239,0.000567038
M43-15,M43-15,4,Pu239,0.000564106
M43-15,M43-15,5,Pu239,0.000561199
M43-15,M43-15,6,Pu239,0.000558316
M43-15,M43-15,7,Pu239,0.000554501
M43-15,M43-15,8,Pu239,0.000549783
M43-15,M43-15,9,Pu239,0.000545111
M43-15,M43-15,10,Pu239,0.000535932
M43-15,M43-15,11,Pu239,0.000526958
M43-15,M43-15,12,Pu239,0.000518184
M43-15,M43-15,13,Pu239,0.000509611
M43-15,M43-15,14,Pu239,0.000501238
M43-15,M43-15,15,Pu239,0.000485099
M43-15,M43-15,16,Pu239,0.00046965
M43-15,M43-15,17,Pu239,0.000454937
M43-15,M43-15,18,Pu239,0.000440923
M43-15,M43-15,19,Pu239,0.000427599
M43-15,M43-15,20,Pu239,0.000414889
M43-15,M43-15,21,Pu239,0.000391334
M43-15,M43-15,22,Pu239,0.000370071
M43-15,M43-15,23,Pu239,0.000342187
M43-15,M43-15,24,Pu239,0.000311477
M43-15,M43-15,25,Pu239,0.0002867
M43-15,M43-15,0,Pu240,0.000222545
M43-15,M43-15,1,Pu240,0.000222643
M43-15,M43-15,2,Pu240,0.000222918
M43-15,M43-15,3,Pu240,0.000223183
M43-15,M43-15,4,Pu240,0.00022344
M43-15,M43-15,5,Pu240,0.000223688
M43-15,M43-15,6,Pu240,0.000223926
M43-15,M43-15,7,Pu240,0.00022423
M43-15,M43-15,8,Pu240,0.000224589
M43-15,M43-15,9,Pu240,0.000224926
M43-15,M43-15,10,Pu240,0.000225546
M43-15,M43-15,11,Pu240,0.000226082
M43-15,M43-15,12,Pu240,0.000226533
M43-15,M43-15,13,Pu240,0.000226901
M43-15,M43-15,14,Pu240,0.000227194
M43-15,M43-15,15,Pu240,0.00022756
M43-15,M43-15,16,Pu240,0.00022765
M43-15,M43-15,17,Pu240,0.000227468
M43-15,M43-15,18,Pu240,0.000227022
M43-15,M43-15,19,Pu240,0.000226356
M43-15,M43-15,20,Pu240,0.000225471
M43-15,M43-15,21,Pu240,0.000223057
M43-15,M43-15,22,Pu240,0.000219963
M43-15,M43-15,23,Pu240,0.000214151
M43-15,M43-15,24,Pu240,0.000204866
M43-15,M43-15,25,Pu240,0.00019454
M43-15,M43-15,0,Pu241,0.00010894
M43-15,M43-15,1,Pu241,0.000109136
M43-15,M43-15,2,Pu241,0.000109736
M43-15,M43-15,3,Pu241,0.000110332
M43-15,M43-15,4,Pu241,0.000110922
M43-15,M43-15,5,Pu241,0.000111505
M43-15,M43-15,6,Pu241,0.000112084
M43-15,M43-15,7,Pu241,0.000112846
M43-15,M43-15,8,Pu241,0.000113782
M43-15,M43-15,9,Pu241,0.000114699
M43-15,M43-15,10,Pu241,0.000116468
M43-15,M43-15,11,Pu241,0.000118161
M43-15,M43-15,12,Pu241,0.000119781
M43-15,M43-15,13,Pu241,0.000121328
M43-15,M43-15,14,Pu241,0.000122799
M43-15,M43-15,15,Pu241,0.000125518
M43-15,M43-15,16,Pu241,0.000127947
M43-15,M43-15,17,Pu241,0.000130101
M43-15,M43-15,18,Pu241,0.000131998
M43-15,M43-15,19,Pu241,0.000133619
M43-15,M43-15,20,Pu241,0.000134986
M43-15,M43-15,21,Pu241,0.00013706
M43-15,M43-15,22,Pu241,0.000138216
M43-15,M43-15,23,Pu241,0.000138547
M43-15,M43-15,24,Pu241,0.000136761
M43-15,M43-15,25,Pu241,0.00013298
M43-15,M43-15,0,Pu242,5.49313e-05
M43-15,M43-15,1,Pu242,5.49588e-05
M43-15,M43-15,2,Pu242,5.50468e-05
M43-15,M43-15,3,Pu242,5.51365e-05
M43-15,M43-15,4,Pu242,5.52282e-05
M43-15,M43-15,5,Pu242,5.53211e-05
M43-15,M43-15,6,Pu242,5.54156e-05
M43-15,M43-15,7,Pu242,5.55447e-05
M43-15,M43-15,8,Pu242,5.5711e-05
M43-15,M43-15,9,Pu242,5.58824e-05
M43-15,M43-15,10,Pu242,5.62413e-05
M43-15,M43-15,11,Pu242,5.66191e-05
M43-15,M43-15,12,Pu242,5.70134e-05
M43-15,M43-15,13,Pu242,5.7428e-05
M43-15,M43-15,14,Pu242,5.78589e-05
M43-15,M43-15,15,Pu242,5.87728e-05
M43-15,M43-15,16,Pu242,5.97553e-05
M43-15,M43-15,17,Pu242,6.07986e-05
M43-15,M43-15,18,Pu242,6.18953e-05
M43-15,M43-15,19,Pu242,6.3038e-05
M43-15,M43-15,20,Pu242,6.42306e-05
M43-15,M43-15,21,Pu242,6.67483e-05
M43-15,M43-15,22,Pu242,6.93834e-05
M43-15,M43-15,23,Pu242,7.34995e-05
M43-15,M43-15,24,Pu242,7.90902e-05
M43-15,M43-15,25,Pu242,8.46467e-05
M43-15,M43-15,0,Am241,1.06378e-05
M43-15,M43-15,1,Am241,1.06382e-05
M43-15,M43-15,2,Am241,1.06392e-05
M43-15,M43-15,3,Am241,1.06405e-05
M43-15,M43-15,4,Am241,1.06422e-05
M43-15,M43-15,5,Am241,1.06442e-05
M43-15,M43-15,6,Am241,1.06466e-05
M43-15,M43-15,7,Am241,1.06503e-05
M43-15,M43-15,8,Am241,1.06559e-05
M43-15,M43-15,9,Am241,1.06624e-05
M43-15,M43-15,10,Am241,1.06782e-05
M43-15,M43-15,11,Am241,1.06976e-05
M43-15,M43-15,12,Am241,1.072e-05
M43-15,M43-15,13,Am241,1.07448e-05
M43-15,M43-15,14,Am241,1.07721e-05
M43-15,M43-15,15,Am241,1.08319e-05
M43-15,M43-15,16,Am241,1.08969e-05
M43-15,M43-15,17,Am241,1.09637e-05
M43-15,M43-15,18,Am241,1.10306e-05
M43-15,M43-15,19,Am241,1.10957e-05
M43-15,M43-15,20,Am241,1.11565e-05
M43-15,M43-15,21,Am241,1.12604e-05
M43-15,M43-15,22,Am241,1.13326e-05
M43-15,M43-15,23,Am241,1.13646e-05
M43-15,M43-15,24,Am241,1.125e-05
M43-15,M43-15,25,Am241,1.09454e-05
M43-15,M43-15,0,Am243,0.0
M43-15,M43-15,1,Am243,6.95913e-08
M43-15,M43-15,2,Am243,3.05557e-07
M43-15,M43-15,3,Am243,5.40672e-07
M43-15,M43-15,4,Am243,7.73927e-07
M43-15,M43-15,5,Am243,1.0065e-06
M43-15,M43-15,6,Am243,1.23778e-06
M43-15,M43-15,7,Am243,1.54391e-06
M43-15,M43-15,8,Am243,1.92272e-06
M43-15,M43-15,9,Am243,2.29771e-06
M43-15,M43-15,10,Am243,3.0347e-06
M43-15,M43-15,11,Am243,3.75753e-06
M43-15,M43-15,12,Am243,4.46791e-06
M43-15,M43-15,13,Am243,5.16324e-06
M43-15,M43-15,14,Am243,5.84604e-06
M43-15,M43-15,15,Am243,7.17314e-06
M43-15,M43-15,16,Am243,8.45154e-06
M43-15,M43-15,17,Am243,9.68514e-06
M43-15,M43-15,18,Am243,1.08797e-05
M43-15,M43-15,19,Am243,1.20421e-05
M43-15,M43-15,20,Am243,1.317e-05
M43-15,M43-15,21,Am243,1.53192e-05
M43-15,M43-15,22,Am243,1.73732e-05
M43-15,M43-15,23,Am243,2.027e-05
M43-15,M43-15,24,Am243,2.3887e-05
M43-15,M43-15,25,Am243,2.71946e-05
M43-15,M43-15,0,Xe135,0.0
M43-15,M43-15,1,Xe135,1.61709e-08
M43-15,M43-15,2,Xe135,1.63151e-08
M43-15,M43-15,3,Xe135,1.63119e-08
M43-15,M43-15,4,Xe135,1.6307e-08
M43-15,M43-15,5,Xe135,1.63012e-08
M43-15,M43-15,6,Xe135,1.62931e-08
M43-15,M43-15,7,Xe135,1.6273e-08
M43-15,M43-15,8,Xe135,1.62476e-08
M43-15,M43-15,9,Xe135,1.62308e-08
M43-15,M43-15,10,Xe135,1.61686e-08
M43-15,M43-15,11,Xe135,1.61288e-08
M43-15,M43-15,12,Xe135,1.6089e-08
M43-15,M43-15,13,Xe135,1.60456e-08
M43-15,M43-15,14,Xe135,1.60067e-08
M43-15,M43-15,15,Xe135,1.58954e-08
M43-15,M43-15,16,Xe135,1.58103e-08
M43-15,M43-15,17,Xe135,1.57215e-08
M43-15,M43-15,18,Xe135,1.56385e-08
M43-15,M43-15,19,Xe135,1.55517e-08
M43-15,M43-15,20,Xe135,1.54638e-08
M43-15,M43-15,21,Xe135,1.52441e-08
M43-15,M43-15,22,Xe135,1.50692e-08
M43-15,M43-15,23,Xe135,1.47675e-08
M43-15,M43-15,24,Xe135,1.44118e-08
M43-15,M43-15,25,Xe135,1.41042e-08
M43-15,M43-15,0,Sm149,0.0
M43-15,M43-15,1,Sm149,6.80589e-09
M43-15,M43-15,2,Sm149,5.56932e-08
M43-15,M43-15,3,Sm149,9.86624e-08
M43-15,M43-15,4,Sm149,1.2957e-07
M43-15,M43-15,5,Sm149,1.51314e-07
M43-15,M43-15,6,Sm149,1.66663e-07
M43-15,M43-15,7,Sm149,1.80312e-07
M43-15,M43-15,8,Sm149,1.90595e-07
M43-15,M43-15,9,Sm149,1.96492e-07
M43-15,M43-15,10,Sm149,2.02371e-07
M43-15,M43-15,11,Sm149,2.05104e-07
M43-15,M43-15,12,Sm149,2.06965e-07
M43-15,M43-15,13,Sm149,2.08282e-07
M43-15,M43-15,14,Sm149,2.09528e-07
M43-15,M43-15,15,Sm149,2.117e-07
M43-15,M43-15,16,Sm149,2.12988e-07
M43-15,M43-15,17,Sm149,2.13842e-07
M43-15,M43-15,18,Sm149,2.14521e-07
M43-15,M43-15,19,Sm149,2.14813e-07
M43-15,M43-15,20,Sm149,2.14719e-07
M43-15,M43-15,21,Sm149,2.14378e-07
M43-15,M43-15,22,Sm149,2.12968e-07
M43-15,M43-15,23,Sm149,2.10194e-07
M43-15,M43-15,24,Sm149,2.05915e-07
M43-15,M43-15,25,Sm149,2.00451e-07
M43-15,M43-15,0,Cs137,0.0
M43-15,M43-15,1,Cs137,1.22534e-07
M43-15,M43-15,2,Cs137,4.90068e-07
M43-15,M43-15,3,Cs137,8.57695e-07
M43-15,M43-15,4,Cs137,1.22505e-06
M43-15,M43-15,5,Cs137,1.59242e-06
M43-15,M43-15,6,Cs137,1.95959e-06
M43-15,M43-15,7,Cs137,2.44944e-06
M43-15,M43-15,8,Cs137,3.0617e-06
M43-15,M43-15,9,Cs137,3.6744e-06
M43-15,M43-15,10,Cs137,4.89992e-06
M43-15,M43-15,11,Cs137,6.12643e-06
M43-15,M43-15,12,Cs137,7.35335e-06
M43-15,M43-15,13,Cs137,8.58166e-06
M43-15,M43-15,14,Cs137,9.81032e-06
M43-15,M43-15,15,Cs137,1.22707e-05
M43-15,M43-15,16,Cs137,1.47361e-05
M43-15,M43-15,17,Cs137,1.72052e-05
M43-15,M43-15,18,Cs137,1.96779e-05
M43-15,M43-15,19,Cs137,2.21543e-05
M43-15,M43-15,20,Cs137,2.46358e-05
M43-15,M43-15,21,Cs137,2.96115e-05
M43-15,M43-15,22,Cs137,3.4602e-05
M43-15,M43-15,23,Cs137,4.21184e-05
M43-15,M43-15,24,Cs137,5.2196e-05
M43-15,M43-15,25,Cs137,6.23538e-05
M43-15,M43-15,0,Sr90,0.0
M43-15,M43-15,1,Sr90,4.20343e-08
M43-15,M43-15,2,Sr90,1.68153e-07
M43-15,M43-15,3,Sr90,2.9433e-07
M43-15,M43-15,4,Sr90,4.20472e-07
M43-15,M43-15,5,Sr90,5.46712e-07
M43-15,M43-15,6,Sr90,6.73007e-07
M43-15,M43-15,7,Sr90,8.41712e-07
M43-15,M43-15,8,Sr90,1.05298e-06
M43-15,M43-15,9,Sr90,1.26488e-06
M43-15,M43-15,10,Sr90,1.69033e-06
M43-15,M43-15,11,Sr90,2.11843e-06
M43-15,M43-15,12,Sr90,2.54903e-06
M43-15,M43-15,13,Sr90,2.9825e-06
M43-15,M43-15,14,Sr90,3.41849e-06
M43-15,M43-15,15,Sr90,4.29872e-06
M43-15,M43-15,16,Sr90,5.19e-06
M43-15,M43-15,17,Sr90,6.09184e-06
M43-15,M43-15,18,Sr90,7.004e-06
M43-15,M43-15,19,Sr90,7.92628e-06
M43-15,M43-15,20,Sr90,8.85897e-06
M43-15,M43-15,21,Sr90,1.0754e-05
M43-15,M43-15,22,Sr90,1.26865e-05
M43-15,M43-15,23,Sr90,1.56542e-05
M43-15,M43-15,24,Sr90,1.97312e-05
M43-15,M43-15,25,Sr90,2.39425e-05
M43-15,M43-15,0,I129,0.0
M43-15,M43-15,1,I129,2.03615e-08
M43-15,M43-15,2,I129,9.04092e-08
M43-15,M43-15,3,I129,1.60456e-07
M43-15,M43-15,4,I129,2.30451e-07
M43-15,M43-15,5,I129,3.0044e-07
M43-15,M43-15,6,I129,3.70388e-07
M43-15,M43-15,7,I129,4.63695e-07
M43-15,M43-15,8,I129,5.80307e-07
M43-15,M43-15,9,I129,6.96985e-07
M43-15,M43-15,10,I129,9.30338e-07
M43-15,M43-15,11,I129,1.16382e-06
M43-15,M43-15,12,I129,1.39734e-06
M43-15,M43-15,13,I129,1.63108e-06
M43-15,M43-15,14,I129,1.86485e-06
M43-15,M43-15,15,I129,2.33287e-06
M43-15,M43-15,16,I129,2.80169e-06
M43-15,M43-15,17,I129,3.2711e-06
M43-15,M43-15,18,I129,3.74113e-06
M43-15,M43-15,19,I129,4.2118e-06
M43-15,M43-15,20,I129,4.68341e-06
M43-15,M43-15,21,I129,5.62903e-06
M43-15,M43-15,22,I129,6.57755e-06
M43-15,M43-15,23,I129,8.00686e-06
M43-15,M43-15,24,I129,9.92513e-06
M43-15,M43-15,25,I129,1.18616e-05
M43-15,M43-15,0,Nd143,0.0
M43-15,M43-15,1,Nd143,1.73562e-09
M43-15,M43-15,2,Nd143,5.32992e-08
M43-15,M43-15,3,Nd143,1.69725e-07
M43-15,M43-15,4,Nd143,3.30735e-07
M43-15,M43-15,5,Nd143,5.2151e-07
M43-15,M43-15,6,Nd143,7.32117e-07
M43-15,M43-15,7,Nd143,1.03263e-06
M43-15,M43-15,8,Nd143,1.42681e-06
M43-15,M43-15,9,Nd143,1.83177e-06
M43-15,M43-15,10,Nd143,2.65473e-06
M43-15,M43-15,11,Nd143,3.48157e-06
M43-15,M43-15,12,Nd143,4.30733e-06
M43-15,M43-15,13,Nd143,5.13079e-06
M43-15,M43-15,14,Nd143,5.95156e-06
M43-15,M43-15,15,Nd143,7.586e-06
M43-15,M43-15,16,Nd143,9.20767e-06
M43-15,M43-15,17,Nd143,1.08171e-05
M43-15,M43-15,18,Nd143,1.24137e-05
M43-15,M43-15,19,Nd143,1.39965e-05
M43-15,M43-15,20,Nd143,1.55659e-05
M43-15,M43-15,21,Nd143,1.8666e-05
M43-15,M43-15,22,Nd143,2.16985e-05
M43-15,M43-15,23,Nd143,2.61257e-05
M43-15,M43-15,24,Nd143,3.17694e-05
M43-15,M43-15,25,Nd143,3.70963e-05
M43-15,M43-15,0,Nd145,0.0
M43-15,M43-15,1,Nd145,5.04223e-08
M43-15,M43-15,2,Nd145,2.25843e-07
M43-15,M43-15,3,Nd145,4.01153e-07
M43-15,M43-15,4,Nd145,5.76199e-07
M43-15,M43-15,5,Nd145,7.51103e-07
M43-15,M43-15,6,Nd145,9.25782e-07
M43-15,M43-15,7,Nd145,1.15859e-06
M43-15,M43-15,8,Nd145,1.44924e-06
M43-15,M43-15,9,Nd145,1.73969e-06
M43-15,M43-15,10,Nd145,2.31948e-06
M43-15,M43-15,11,Nd145,2.89819e-06
M43-15,M43-15,12,Nd145,3.47546e-06
M43-15,M43-15,13,Nd145,4.05182e-06
M43-15,M43-15,14,Nd145,4.62671e-06
M43-15,M43-15,15,Nd145,5.7732e-06
M43-15,M43-15,16,Nd145,6.91534e-06
M43-15,M43-15,17,Nd145,8.05254e-06
M43-15,M43-15,18,Nd145,9.18445e-06
M43-15,M43-15,19,Nd145,1.03114e-05
M43-15,M43-15,20,Nd145,1.14335e-05
M43-15,M43-15,21,Nd145,1.36623e-05
M43-15,M43-15,22,Nd145,1.58681e-05
M43-15,M43-15,23,Nd145,1.91333e-05
M43-15,M43-15,24,Nd145,2.33991e-05
M43-15,M43-15,25,Nd145,2.75655e-05
M43-15,M43-15,0,lost,0.0
M43-15,M43-15,1,lost,1.58911e-13
M43-15,M43-15,2,lost,6.41081e-13
M43-15,M43-15,3,lost,1.12526e-12
M43-15,M43-15,4,lost,1.6105e-12
M43-15,M43-15,5,lost,2.09712e-12
M43-15,M43-15,6,lost,2.58529e-12
M43-15,M43-15,7,lost,3.2379e-12
M43-15,M43-15,8,lost,4.05594e-12
M43-15,M43-15,9,lost,4.87694e-12
M43-15,M43-15,10,lost,6.52579e-12
M43-15,M43-15,11,lost,8.18401e-12
M43-15,M43-15,12,lost,9.85072e-12
M43-15,M43-15,13,lost,1.15254e-11
M43-15,M43-15,14,lost,1.32089e-11
M43-15,M43-15,15,lost,1.66018e-11
M43-15,M43-15,16,lost,2.00269e-11
M43-15,M43-15,17,lost,2.34848e-11
M43-15,M43-15,18,lost,2.69748e-11
M43-15,M43-15,19,lost,3.04968e-11
M43-15,M43-15,20,lost,3.40484e-11
M43-15,M43-15,21,lost,4.12498e-11
M43-15,M43-15,22,lost,4.85706e-11
M43-15,M43-15,23,lost,5.97867e-11
M43-15,M43-15,24,lost,7.51641e-11
M43-15,M43-15,25,lost,9.10432e-11
M43-15,M43-15,0,total,0.0696573
M43-15,M43-15,1,total,0.0696591
M43-15,M43-15,2,total,0.0696648
M43-15,M43-15,3,total,0.0696705
M43-15,M43-15,4,total,0.0696762
M43-15,M43-15,5,total,0.0696818
M43-15,M43-15,6,total,0.0696875
M43-15,M43-15,7,total,0.0696951
M43-15,M43-15,8,total,0.0697046
M43-15,M43-15,9,total,0.0697141
M43-15,M43-15,10,total,0.0697332
M43-15,M43-15,11,total,0.0697523
M43-15,M43-15,12,total,0.0697715
M43-15,M43-15,13,total,0.0697908
M43-15,M43-15,14,total,0.0698101
M43-15,M43-15,15,total,0.0698489
M43-15,M43-15,16,total,0.0698879
M43-15,M43-15,17,total,0.0699272
M43-15,M43-15,18,total,0.0699666
M43-15,M43-15,19,total,0.0700063
M43-15,M43-15,20,total,0.0700462
M43-15,M43-15,21,total,0.0701266
M43-15,M43-15,22,total,0.0702079
M43-15,M43-15,23,total,0.0703312
M43-15,M43-15,24,total,0.0704985
M43-15,M43-15,25,total,0.0706693
M43-15,mox70,0,Th232,0.0
M43-15,mox70,1,Th232,1.97048e-18
M43-15,mox70,2,Th232,3.15587e-17
M43-15,mox70,3,Th232,9.65845e-17
M43-15,mox70,4,Th232,1.96903e-16
M43-15,mox70,5,Th232,3.32363e-16
M43-15,mox70,6,Th232,5.02812e-16
M43-15,mox70,7,Th232,7.84264e-16
M43-15,mox70,8,Th232,1.22266e-15
M43-15,mox70,9,Th232,1.75652e-15
M43-15,mox70,10,Th232,3.1078e-15
M43-15,mox70,11,Th232,4.83193e-15
M43-15,mox70,12,Th232,6.92288e-15
M43-15,mox70,13,Th232,9.3746e-15
M43-15,mox70,14,Th232,1.21811e-14
M43-15,mox70,15,Th232,1.88359e-14
M43-15,mox70,16,Th232,2.68389e-14
M43-15,mox70,17,Th232,3.6143e-14
M43-15,mox70,18,Th232,4.67011e-14
M43-15,mox70,19,Th232,5.84676e-14
M43-15,mox70,20,Th232,7.13959e-14
M43-15,mox70,21,Th232,1.00564e-13
M43-15,mox70,22,Th232,1.33838e-13
M43-15,mox70,23,Th232,1.90689e-13
M43-15,mox70,24,Th232,2.77601e-13
M43-15,mox70,25,Th232,3.74725e-13
M43-15,mox70,0,Th233,0.0
M43-15,mox70,1,Th233,1.30773e-22
M43-15,mox70,2,Th233,5.16669e-22
M43-15,mox70,3,Th233,8.90231e-22
M43-15,mox70,4,Th233,1.26452e-21
M43-15,mox70,5,Th233,1.65413e-21
M43-15,mox70,6,Th233,2.06527e-21
M43-15,mox70,7,Th233,2.65547e-21
M43-15,mox70,8,Th233,3.49326e-21
M43-15,mox70,9,Th233,4.43601e-21
M43-15,mox70,10,Th233,6.72073e-21
M43-15,mox70,11,Th233,9.57313e-21
M43-15,mox70,12,Th233,1.3033e-20
M43-15,mox70,13,Th233,1.70903e-20
M43-15,mox70,14,Th233,2.1787e-20
M43-15,mox70,15,Th233,3.29103e-20
M43-15,mox70,16,Th233,4.65312e-20
M43-15,mox70,17,Th233,6.26544e-20
M43-15,mox70,18,Th233,8.13137e-20
M43-15,mox70,19,Th233,1.02088e-19
M43-15,mox70,20,Th233,1.25546e-19
M43-15,mox70,21,Th233,1.78782e-19
M43-15,mox70,22,Th233,2.41302e-19
M43-15,mox70,23,Th233,3.50654e-19
M43-15,mox70,24,Th233,5.27204e-19
M43-15,mox70,25,Th233,7.34351e-19
M43-15,mox70,0,Pa233,0.0
M43-15,mox70,1,Pa233,1.1958e-18
M43-15,mox70,2,Pa233,5.25518e-17
M43-15,mox70,3,Pa233,2.22397e-16
M43-15,mox70,4,Pa233,5.26941e-16
M43-15,mox70,5,Pa233,9.58206e-16
M43-15,mox70,6,Pa233,1.50035e-15
M43-15,mox70,7,Pa233,2.36627e-15
M43-15,mox70,8,Pa233,3.62808e-15
M43-15,mox70,9,Pa233,5.03695e-15
M43-15,mox70,10,Pa233,8.14018e-15
M43-15,mox70,11,Pa233,1.14619e-14
M43-15,mox70,12,Pa233,1.48877e-14
M43-15,mox70,13,Pa233,1.83588e-14
M43-15,mox70,14,Pa233,2.18467e-14
M43-15,mox70,15,Pa233,2.88248e-14
M43-15,mox70,16,Pa233,3.57649e-14
M43-15,mox70,17,Pa233,4.26442e-14
M43-15,mox70,18,Pa233,4.94537e-14
M43-15,mox70,19,Pa233,5.61828e-14
M43-15,mox70,20,Pa233,6.28321e-14
M43-15,mox70,21,Pa233,7.58815e-14
M43-15,mox70,22,Pa233,8.85277e-14
M43-15,mox70,23,Pa233,1.06719e-13
M43-15,mox70,24,Pa233,1.29263e-13
M43-15,mox70,25,Pa233,1.49665e-13
M43-15,mox70,0,Pa234,0.0
M43-15,mox70,1,Pa234,2.25634e-16
M43-15,mox70,2,Pa234,9.20474e-16
M43-15,mox70,3,Pa234,1.47508e-15
M43-15,mox70,4,Pa234,1.91768e-15
M43-15,mox70,5,Pa234,2.27087e-15
M43-15,mox70,6,Pa234,2.5527e-15
M43-15,mox70,7,Pa234,2.8419e-15
M43-15,mox70,8,Pa234,3.09998e-15
M43-15,mox70,9,Pa234,3.27694e-15
M43-15,mox70,10,Pa234,3.48115e-15
M43-15,mox70,11,Pa234,3.57642e-15
M43-15,mox70,12,Pa234,3.62028e-15
M43-15,mox70,13,Pa234,3.63987e-15
M43-15,mox70,14,Pa234,3.64801e-15
M43-15,mox70,15,Pa234,3.65091e-15
M43-15,mox70,16,Pa234,3.64824e-15
M43-15,mox70,17,Pa234,3.64431e-15
M43-15,mox70,18,Pa234,3.64006e-15
M43-15,mox70,19,Pa234,3.63571e-15
M43-15,mox70,20,Pa234,3.63131e-15
M43-15,mox70,21,Pa234,3.62238e-15
M43-15,mox70,22,Pa234,3.61328e-15
M43-15,mox70,23,Pa234,3.59927e-15
M43-15,mox70,24,Pa234,3.57997e-15
M43-15,mox70,25,Pa234,3.55991e-15
M43-15,mox70,0,U233,0.0
M43-15,mox70,1,U233,1.98423e-14
M43-15,mox70,2,U233,8.45773e-14
M43-15,mox70,3,U233,1.50111e-13
M43-15,mox70,4,U233,2.12736e-13
M43-15,mox70,5,U233,2.75622e-13
M43-15,mox70,6,U233,3.38551e-13
M43-15,mox70,7,U233,4.27509e-13
M43-15,mox70,8,U233,5.44706e-13
M43-15,mox70,9,U233,6.58427e-13
M43-15,mox70,10,U233,8.83477e-13
M43-15,mox70,11,U233,1.12083e-12
M43-15,mox70,12,U233,1.3657e-12
M43-15,mox70,13,U233,1.61249e-12
M43-15,mox70,14,U233,1.86814e-12
M43-15,mox70,15,U233,2.39447e-12
M43-15,mox70,16,U233,2.94207e-12
M43-15,mox70,17,U233,3.52117e-12
M43-15,mox70,18,U233,4.12733e-12
M43-15,mox70,19,U233,4.73865e-12
M43-15,mox70,20,U233,5.38224e-12
M43-15,mox70,21,U233,6.66176e-12
M43-15,mox70,22,U233,8.00873e-12
M43-15,mox70,23,U233,1.00722e-11
M43-15,mox70,24,U233,1.28908e-11
M43-15,mox70,25,U233,1.57518e-11
M43-15,mox70,0,U234,0.0
M43-15,mox70,1,U234,1.69178e-09
M43-15,mox70,2,U234,6.74602e-09
M43-15,mox70,3,U234,1.17682e-08
M43-15,mox70,4,U234,1.67589e-08
M43-15,mox70,5,U234,2.17191e-08
M43-15,mox70,6,U234,2.66493e-08
M43-15,mox70,7,U234,3.31781e-08
M43-15,mox70,8,U234,4.12687e-08
M43-15,mox70,9,U234,4.92852e-08
M43-15,mox70,10,U234,6.51005e-08
M43-15,mox70,11,U234,8.06499e-08
M43-15,mox70,12,U234,9.59504e-08
M43-15,mox70,13,U234,1.11021e-07
M43-15,mox70,14,U234,1.25879e-07
M43-15,mox70,15,U234,1.55003e-07
M43-15,mox70,16,U234,1.83433e-07
M43-15,mox70,17,U234,2.11225e-07
M43-15,mox70,18,U234,2.38473e-07
M43-15,mox70,19,U234,2.65224e-07
M43-15,mox70,20,U234,2.91533e-07
M43-15,mox70,21,U234,3.42905e-07
M43-15,mox70,22,U234,3.92786e-07
M43-15,mox70,23,U234,4.65248e-07
M43-15,mox70,24,U234,5.57595e-07
M43-15,mox70,25,U234,6.45232e-07
M43-15,mox70,0,U235,5.2852e-05
M43-15,mox70,1,U235,5.27774e-05
M43-15,mox70,2,U235,5.25537e-05
M43-15,mox70,3,U235,5.23304e-05
M43-15,mox70,4,U235,5.21076e-05
M43-15,mox70,5,U235,5.18852e-05
M43-15,mox70,6,U235,5.16633e-05
M43-15,mox70,7,U235,5.13679e-05
M43-15,mox70,8,U235,5.09998e-05
M43-15,mox70,9,U235,5.06331e-05
M43-15,mox70,10,U235,4.99034e-05
M43-15,mox70,11,U235,4.91788e-05
M43-15,mox70,12,U235,4.84594e-05
M43-15,mox70,13,U235,4.77454e-05
M43-15,mox70,14,U235,4.70362e-05
M43-15,mox70,15,U235,4.56337e-05
M43-15,mox70,16,U235,4.42526e-05
M43-15,mox70,17,U235,4.28926e-05
M43-15,mox70,18,U235,4.15544e-05
M43-15,mox70,19,U235,4.02376e-05
M43-15,mox70,20,U235,3.89425e-05
M43-15,mox70,21,U235,3.64198e-05
M43-15,mox70,22,U235,3.3987e-05
M43-15,mox70,23,U235,3.05117e-05
M43-15,mox70,24,U235,2.62122e-05
M43-15,mox70,25,U235,2.23037e-05
M43-15,mox70,0,U236,0.0
M43-15,mox70,1,U236,1.86687e-08
M43-15,mox70,2,U236,7.47469e-08
M43-15,mox70,3,U236,1.30652e-07
M43-15,mox70,4,U236,1.86335e-07
M43-15,mox70,5,U236,2.41826e-07
M43-15,mox70,6,U236,2.97095e-07
M43-15,mox70,7,U236,3.70511e-07
M43-15,mox70,8,U236,4.61729e-07
M43-15,mox70,9,U236,5.52271e-07
M43-15,mox70,10,U236,7.31557e-07
M43-15,mox70,11,U236,9.08315e-07
M43-15,mox70,12,U236,1.0826e-06
M43-15,mox70,13,U236,1.25432e-06
M43-15,mox70,14,U236,1.4236e-06
M43-15,mox70,15,U236,1.75481e-06
M43-15,mox70,16,U236,2.07622e-06
M43-15,mox70,17,U236,2.38783e-06
M43-15,mox70,18,U236,2.6898e-06
M43-15,mox70,19,U236,2.98211e-06
M43-15,mox70,20,U236,3.26497e-06
M43-15,mox70,21,U236,3.80206e-06
M43-15,mox70,22,U236,4.30178e-06
M43-15,mox70,23,U236,4.98199e-06
M43-15,mox70,24,U236,5.762e-06
