case,detector,G1,G2,G3,G4,G5,G6,G7
B010,det24,1295584800000.0,5693642000000.0,228604507000000.0,523484950000000.0,7456912800000000.0,2486811000000000.0,4.3533623e+16
B010,det25,1316499660000.0,5811487700000.0,233916851000000.0,535432120000000.0,7559073000000000.0,2514658170000000.0,4.3866693e+16
B011,det0,1046419790000.0,4589631990000.0,183276307000000.0,415351020000000.0,6480995500000000.0,2251151030000000.0,4.0722625e+16
B011,det1,1041260200000.0,4568024740000.0,182855897000000.0,415547620000000.0,6491432400000000.0,2254645630000000.0,4.0781959e+16
B011,det2,1042103510000.0,4579314810000.0,182664920000000.0,415637460000000.0,6494352900000000.0,2256000640000000.0,4.0797606e+16
B011,det3,1050279790000.0,4587011520000.0,183018369000000.0,416128730000000.0,6497687500000000.0,2256428550000000.0,4.0809152e+16
B011,det4,1039372630000.0,4570951510000.0,182797725000000.0,415904980000000.0,6500879700000000.0,2257583770000000.0,4.082725e+16
B011,det5,1044976030000.0,4590468100000.0,183181663000000.0,416487140000000.0,6504827500000000.0,2259363670000000.0,4.0842515e+16
B011,det6,1042134180000.0,4588465360000.0,183143554000000.0,416802450000000.0,6508328400000000.0,2259592520000000.0,4.0861055e+16
B011,det7,1045265870000.0,4602138460000.0,183387814000000.0,417139220000000.0,6513779800000000.0,2261017220000000.0,4.0881981e+16
B011,det8,1040376240000.0,4586736920000.0,183504179000000.0,417488520000000.0,6519654300000000.0,2262958260000000.0,4.090628e+16
B011,det9,1049469900000.0,4605328440000.0,183749255000000.0,417907700000000.0,6525786000000000.0,2265289870000000.0,4.0927299e+16
B011,det10,1053755930000.0,4622243870000.0,184169623000000.0,419140020000000.0,6536765700000000.0,2269026570000000.0,4.0977344e+16
B011,det11,1054974510000.0,4627255960000.0,184372474000000.0,420001950000000.0,6550116000000000.0,2271953880000000.0,4.1027412e+16
B011,det12,1059873100000.0,4649357760000.0,184727287000000.0,421139880000000.0,6559920000000000.0,2276061200000000.0,4.1077266e+16
B011,det13,1056279070000.0,4650582190000.0,185160012000000.0,421775100000000.0,6572197200000000.0,2279412270000000.0,4.1120241e+16
B011,det14,1064791130000.0,4672392230000.0,185433764000000.0,422652660000000.0,6583679400000000.0,2282965570000000.0,4.1170748e+16
B011,det15,1061980100000.0,4677678360000.0,186086861000000.0,424579580000000.0,6607179100000000.0,2289939810000000.0,4.1263541e+16
B011,det16,1067935090000.0,4693559590000.0,186978771000000.0,426710050000000.0,6628652100000000.0,2296503020000000.0,4.1359411e+16
B011,det17,1070632110000.0,4714449220000.0,187835672000000.0,428684950000000.0,6652514700000000.0,2303695070000000.0,4.1447877e+16
B011,det18,1078401540000.0,4745754960000.0,188645544000000.0,430395560000000.0,6675021800000000.0,2309634560000000.0,4.1531637e+16
B011,det19,1078407960000.0,4746612940000.0,189102460000000.0,432485060000000.0,6698441900000000.0,2316398850000000.0,4.1617521e+16
B011,det20,1087530580000.0,4777739760000.0,190099203000000.0,434673620000000.0,6720135900000000.0,2322747570000000.0,4.1711403e+16
B011,det21,1102069010000.0,4830247820000.0,191681179000000.0,438994820000000.0,6765612900000000.0,2334855490000000.0,4.1874052e+16
B011,det22,1108510940000.0,4854720640000.0,193702984000000.0,443569960000000.0,6810106300000000.0,2348215220000000.0,4.2040434e+16
B011,det23,1121756120000.0,4933229750000.0,196357047000000.0,449832330000000.0,6877610400000000.0,2367610040000000.0,4.2281919e+16
