case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M43-5,5,1.300000,7,3,0.004061,1.071526,7.152616
M43-5,5,1.300000,7,5,0.004219,1.113272,11.327215
M43-5,5,1.300000,7,6,0.004085,1.077965,7.796486
M43-5,5,1.300000,7,7,0.003844,1.014375,1.437479
M43-5,5,1.300000,8,1,0.004147,1.094209,9.420938
M43-5,5,1.300000,8,2,0.003954,1.043425,4.342547
M43-5,5,1.300000,8,3,0.003961,1.045201,4.520139
M43-5,5,1.300000,8,4,0.004166,1.099421,9.942104
M43-5,5,1.300000,8,5,0.003958,1.044420,4.442030
M43-5,5,1.300000,8,6,0.003801,1.002946,0.294610
M43-5,5,1.300000,8,7,0.003817,1.007173,0.717348
M43-5,5,1.300000,8,8,0.002923,0.771382,-22.861774
M43-5,5,1.300000,9,1,0.003028,0.799011,-20.098860
M43-5,5,1.300000,9,2,0.003028,0.799066,-20.093424
M43-5,5,1.300000,9,3,0.003029,0.799312,-20.068751
M43-5,5,1.300000,9,4,0.003031,0.799846,-20.015447
M43-5,5,1.300000,9,5,0.003028,0.799120,-20.087988
M43-5,5,1.300000,9,6,0.003011,0.794638,-20.536164
M43-5,5,1.300000,9,7,0.003007,0.793462,-20.653828
M43-5,5,1.300000,9,8,0.003066,0.809076,-19.092391
M43-5,5,1.300000,9,9,0.003178,0.838572,-16.142781
M43-5,6,1.600000,2,1,0.004186,1.105250,10.525024
M43-5,6,1.600000,2,2,0.003958,1.044918,4.491792
M43-5,6,1.600000,3,1,0.004204,1.110042,11.004229
M43-5,6,1.600000,3,2,0.003968,1.047537,4.753705
M43-5,6,1.600000,3,3,0.003977,1.050069,5.006905
M43-5,6,1.600000,4,2,0.004223,1.114958,11.495843
M43-5,6,1.600000,4,3,0.004252,1.122591,12.259139
M43-5,6,1.600000,5,1,0.004308,1.137408,13.740847
M43-5,6,1.600000,5,2,0.004091,1.080139,8.013884
M43-5,6,1.600000,5,3,0.004102,1.082916,8.291638
M43-5,6,1.600000,5,4,0.004448,1.174430,17.443003
M43-5,6,1.600000,5,5,0.003959,1.045372,4.537205
M43-5,6,1.600000,6,1,0.003956,1.044408,4.440836
M43-5,6,1.600000,6,2,0.003725,0.983395,-1.660515
M43-5,6,1.600000,6,3,0.003766,0.994418,-0.558211
M43-5,6,1.600000,6,4,0.004061,1.072284,7.228410
M43-5,6,1.600000,6,5,0.004213,1.112366,11.236571
M43-5,6,1.600000,7,2,0.004026,1.062909,6.290858
M43-5,6,1.600000,7,3,0.004067,1.073839,7.383921
M43-5,6,1.600000,7,5,0.004228,1.116281,11.628120
M43-5,6,1.600000,7,6,0.004081,1.077543,7.754347
M43-5,6,1.600000,7,7,0.003837,1.012945,1.294452
M43-5,6,1.600000,8,1,0.004137,1.092247,9.224702
M43-5,6,1.600000,8,2,0.003947,1.042114,4.211398
M43-5,6,1.600000,8,3,0.003960,1.045427,4.542749
M43-5,6,1.600000,8,4,0.004184,1.104693,10.469315
M43-5,6,1.600000,8,5,0.003945,1.041618,4.161761
M43-5,6,1.600000,8,6,0.003806,1.004760,0.475975
M43-5,6,1.600000,8,7,0.003816,1.007492,0.749240
M43-5,6,1.600000,8,8,0.002939,0.775982,-22.401752
M43-5,6,1.600000,9,1,0.003033,0.800785,-19.921502
M43-5,6,1.600000,9,2,0.003009,0.794448,-20.555188
M43-5,6,1.600000,9,3,0.003018,0.796820,-20.317989
M43-5,6,1.600000,9,4,0.003026,0.798847,-20.115323
M43-5,6,1.600000,9,5,0.003032,0.800435,-19.956539
M43-5,6,1.600000,9,6,0.002984,0.787793,-21.220663
M43-5,6,1.600000,9,7,0.002999,0.791942,-20.805774
M43-5,6,1.600000,9,8,0.003073,0.811434,-18.856585
M43-5,6,1.600000,9,9,0.003171,0.837142,-16.285828
M43-5,7,2.000000,2,1,0.004197,1.107286,10.728627
M43-5,7,2.000000,2,2,0.003975,1.048625,4.862510
M43-5,7,2.000000,3,1,0.004200,1.108009,10.800911
M43-5,7,2.000000,3,2,0.003972,1.047897,4.789698
M43-5,7,2.000000,3,3,0.003987,1.051865,5.186471
M43-5,7,2.000000,4,2,0.004241,1.118883,11.888343
M43-5,7,2.000000,4,3,0.004252,1.121719,12.171941
M43-5,7,2.000000,5,1,0.004298,1.133855,13.385475
M43-5,7,2.000000,5,2,0.004091,1.079211,7.921143
M43-5,7,2.000000,5,3,0.004114,1.085234,8.523425
M43-5,7,2.000000,5,4,0.004449,1.173733,17.373252
M43-5,7,2.000000,5,5,0.003956,1.043700,4.369974
M43-5,7,2.000000,6,1,0.003918,1.033609,3.360894
M43-5,7,2.000000,6,2,0.003728,0.983390,-1.661025
M43-5,7,2.000000,6,3,0.003772,0.995156,-0.484425
M43-5,7,2.000000,6,4,0.004090,1.078934,7.893443
M43-5,7,2.000000,6,5,0.004214,1.111650,11.164972
M43-5,7,2.000000,7,2,0.004040,1.065923,6.592323
M43-5,7,2.000000,7,3,0.004064,1.072186,7.218612
M43-5,7,2.000000,7,5,0.004220,1.113214,11.321412
M43-5,7,2.000000,7,6,0.004077,1.075608,7.560776
M43-5,7,2.000000,7,7,0.003832,1.011021,1.102138
M43-5,7,2.000000,8,1,0.004137,1.091473,9.147340
M43-5,7,2.000000,8,2,0.003939,1.039025,3.902499
M43-5,7,2.000000,8,3,0.003958,1.044206,4.420626
M43-5,7,2.000000,8,4,0.004165,1.098871,9.887068
M43-5,7,2.000000,8,5,0.003956,1.043607,4.360740
M43-5,7,2.000000,8,6,0.003828,1.009908,0.990810
M43-5,7,2.000000,8,7,0.003833,1.011124,1.112427
M43-5,7,2.000000,8,8,0.002929,0.772652,-22.734831
M43-5,7,2.000000,9,1,0.003042,0.802601,-19.739856
