case,group,keff_threshold,valid_points,burnup_range,max_CR,keff_at_max_CR,avg_CR,Th_level,Pu_level,U235_enrichment,U233_enrichment,total_enrichment
B011,B,1.0,26,0.0 - 50.0,0.0749557,1.99246,0.06610700769230769,0.45,0.0,0.0,0.55,0.55
B012,B,0.8,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
B012,B,0.9,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
B012,B,0.95,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
B012,B,1.0,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
C001,C,0.8,26,0.0 - 50.0,0.880412,0.908662,0.446263423076923,0.95,0.05,0.0,0.0,0.0
C001,C,0.9,26,0.0 - 50.0,0.880412,0.908662,0.446263423076923,0.95,0.05,0.0,0.0,0.0
C001,C,0.95,25,0.0 - 42.0,0.792771,0.957478,0.42889748,0.95,0.05,0.0,0.0,0.0
C001,C,1.0,24,0.0 - 34.0,0.695984,1.01486,0.4137360833333333,0.95,0.05,0.0,0.0,0.0
C002,C,0.8,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C002,C,0.9,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C002,C,0.95,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C002,C,1.0,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C003,C,0.8,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C003,C,0.9,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C003,C,0.95,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C003,C,1.0,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C004,C,0.8,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
