case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
mox43,3,0.700000,9,2,0.003592,0.947745,-5.225521
mox43,3,0.700000,9,3,0.003626,0.956636,-4.336377
mox43,3,0.700000,9,4,0.003608,0.951882,-4.811818
mox43,3,0.700000,9,5,0.003562,0.939824,-6.017570
mox43,3,0.700000,9,6,0.003507,0.925168,-7.483205
mox43,3,0.700000,9,7,0.003483,0.919039,-8.096107
mox43,3,0.700000,9,8,0.003472,0.916005,-8.399524
mox43,3,0.700000,9,9,0.003521,0.929062,-7.093776
mox43,4,1.000000,2,1,0.003995,1.053564,5.356391
mox43,4,1.000000,2,2,0.003813,1.005405,0.540506
mox43,4,1.000000,3,1,0.003987,1.051388,5.138829
mox43,4,1.000000,3,2,0.003819,1.007151,0.715082
mox43,4,1.000000,3,3,0.003826,1.009034,0.903372
mox43,4,1.000000,4,2,0.003994,1.053324,5.332393
mox43,4,1.000000,4,3,0.003996,1.053712,5.371159
mox43,4,1.000000,5,1,0.004004,1.055842,5.584237
mox43,4,1.000000,5,2,0.003810,1.004611,0.461129
mox43,4,1.000000,5,3,0.003824,1.008390,0.839026
mox43,4,1.000000,5,4,0.004076,1.074940,7.494030
mox43,4,1.000000,5,5,0.003994,1.053353,5.335294
mox43,4,1.000000,6,1,0.003974,1.047865,4.786512
mox43,4,1.000000,6,2,0.003810,1.004772,0.477215
mox43,4,1.000000,6,3,0.003801,1.002388,0.238820
mox43,4,1.000000,6,4,0.004064,1.071660,7.165974
mox43,4,1.000000,6,5,0.004136,1.090679,9.067856
mox43,4,1.000000,7,2,0.003951,1.041813,4.181296
mox43,4,1.000000,7,3,0.003961,1.044524,4.452390
mox43,4,1.000000,7,5,0.004056,1.069637,6.963708
mox43,4,1.000000,7,6,0.003940,1.039028,3.902817
mox43,4,1.000000,7,7,0.003655,0.963884,-3.611620
mox43,4,1.000000,8,1,0.003877,1.022512,2.251197
mox43,4,1.000000,8,2,0.003718,0.980519,-1.948133
mox43,4,1.000000,8,3,0.003724,0.982056,-1.794389
mox43,4,1.000000,8,4,0.003908,1.030484,3.048395
mox43,4,1.000000,8,5,0.003709,0.978021,-2.197867
mox43,4,1.000000,8,6,0.003568,0.940851,-5.914869
mox43,4,1.000000,8,7,0.003489,0.920103,-7.989745
mox43,4,1.000000,8,8,0.003429,0.904190,-9.580976
mox43,4,1.000000,9,1,0.003607,0.951220,-4.877959
mox43,4,1.000000,9,2,0.003587,0.945922,-5.407754
mox43,4,1.000000,9,3,0.003582,0.944559,-5.544092
mox43,4,1.000000,9,4,0.003612,0.952534,-4.746631
mox43,4,1.000000,9,5,0.003585,0.945284,-5.471572
mox43,4,1.000000,9,6,0.003537,0.932631,-6.736856
mox43,4,1.000000,9,7,0.003480,0.917821,-8.217855
mox43,4,1.000000,9,8,0.003465,0.913874,-8.612630
mox43,4,1.000000,9,9,0.003528,0.930453,-6.954681
mox43,5,1.300000,2,1,0.003987,1.052128,5.212839
mox43,5,1.300000,2,2,0.003808,1.004924,0.492434
mox43,5,1.300000,3,1,0.003988,1.052453,5.245301
mox43,5,1.300000,3,2,0.003812,1.006123,0.612252
mox43,5,1.300000,3,3,0.003818,1.007629,0.762948
mox43,5,1.300000,4,2,0.004009,1.058045,5.804539
mox43,5,1.300000,4,3,0.004004,1.056842,5.684194
mox43,5,1.300000,5,1,0.003988,1.052601,5.260080
mox43,5,1.300000,5,2,0.003799,1.002657,0.265730
mox43,5,1.300000,5,3,0.003821,1.008490,0.848985
mox43,5,1.300000,5,4,0.004044,1.067232,6.723232
mox43,5,1.300000,5,5,0.003974,1.048898,4.889806
mox43,5,1.300000,6,1,0.003991,1.053192,5.319198
mox43,5,1.300000,6,2,0.003806,1.004492,0.449152
mox43,5,1.300000,6,3,0.003813,1.006284,0.628351
mox43,5,1.300000,6,4,0.004029,1.063395,6.339498
mox43,5,1.300000,6,5,0.004138,1.091953,9.195335
mox43,5,1.300000,7,2,0.003954,1.043517,4.351681
mox43,5,1.300000,7,3,0.003958,1.044607,4.460678
mox43,5,1.300000,7,5,0.004082,1.077177,7.717668
mox43,5,1.300000,7,6,0.003937,1.039070,3.906982
mox43,5,1.300000,7,7,0.003648,0.962893,-3.710696
mox43,5,1.300000,8,1,0.003867,1.020670,2.066958
mox43,5,1.300000,8,2,0.003716,0.980697,-1.930317
mox43,5,1.300000,8,3,0.003705,0.977738,-2.226167
mox43,5,1.300000,8,4,0.003882,1.024536,2.453595
mox43,5,1.300000,8,5,0.003716,0.980583,-1.941665
mox43,5,1.300000,8,6,0.003559,0.939391,-6.060870
mox43,5,1.300000,8,7,0.003478,0.917814,-8.218649
mox43,5,1.300000,8,8,0.003440,0.907954,-9.204640
mox43,5,1.300000,9,1,0.003612,0.953355,-4.664489
mox43,5,1.300000,9,2,0.003600,0.950096,-4.990426
mox43,5,1.300000,9,3,0.003616,0.954205,-4.579508
mox43,5,1.300000,9,4,0.003600,0.950003,-4.999663
mox43,5,1.300000,9,5,0.003564,0.940634,-5.936565
mox43,5,1.300000,9,6,0.003525,0.930434,-6.956601
mox43,5,1.300000,9,7,0.003485,0.919809,-8.019128
mox43,5,1.300000,9,8,0.003473,0.916568,-8.343217
mox43,5,1.300000,9,9,0.003527,0.930912,-6.908833
mox43,6,1.600000,2,1,0.004006,1.057955,5.795470
mox43,6,1.600000,2,2,0.003811,1.006631,0.663060
mox43,6,1.600000,3,1,0.004001,1.056782,5.678200
mox43,6,1.600000,3,2,0.003800,1.003789,0.378865
mox43,6,1.600000,3,3,0.003800,1.003546,0.354566
mox43,6,1.600000,4,2,0.003993,1.054666,5.466639
mox43,6,1.600000,4,3,0.003997,1.055749,5.574929
mox43,6,1.600000,5,1,0.003978,1.050609,5.060948
mox43,6,1.600000,5,2,0.003813,1.007214,0.721431
mox43,6,1.600000,5,3,0.003823,1.009803,0.980270
mox43,6,1.600000,5,4,0.004039,1.066726,6.672618
mox43,6,1.600000,5,5,0.003983,1.051901,5.190104
mox43,6,1.600000,6,1,0.003978,1.050702,5.070192
mox43,6,1.600000,6,2,0.003779,0.998147,-0.185298
mox43,6,1.600000,6,3,0.003816,1.007986,0.798555
mox43,6,1.600000,6,4,0.004038,1.066581,6.658091
mox43,6,1.600000,6,5,0.004132,1.091305,9.130533
mox43,6,1.600000,7,2,0.003936,1.039625,3.962467
mox43,6,1.600000,7,3,0.003962,1.046402,4.640202
mox43,6,1.600000,7,5,0.004048,1.069183,6.918251
mox43,6,1.600000,7,6,0.003938,1.040148,4.014763
mox43,6,1.600000,7,7,0.003628,0.958349,-4.165082
mox43,6,1.600000,8,1,0.003879,1.024594,2.459351
mox43,6,1.600000,8,2,0.003711,0.980137,-1.986343
mox43,6,1.600000,8,3,0.003726,0.984106,-1.589368
mox43,6,1.600000,8,4,0.003895,1.028875,2.887492
mox43,6,1.600000,8,5,0.003700,0.977147,-2.285329
mox43,6,1.600000,8,6,0.003552,0.938102,-6.189837
mox43,6,1.600000,8,7,0.003472,0.917006,-8.299376
mox43,6,1.600000,8,8,0.003439,0.908251,-9.174939
mox43,6,1.600000,9,1,0.003620,0.956234,-4.376643
mox43,6,1.600000,9,2,0.003604,0.951928,-4.807161
mox43,6,1.600000,9,3,0.003597,0.950127,-4.987292
mox43,6,1.600000,9,4,0.003601,0.951070,-4.893001
mox43,6,1.600000,9,5,0.003565,0.941490,-5.850969
mox43,6,1.600000,9,6,0.003530,0.932333,-6.766679
mox43,6,1.600000,9,7,0.003471,0.916800,-8.319978
mox43,6,1.600000,9,8,0.003471,0.916766,-8.323411
mox43,6,1.600000,9,9,0.003526,0.931237,-6.876289
mox43,7,2.000000,2,1,0.003989,1.053163,5.316327
